movieId,title,title_only
71464,"Serious Man, A (2009)","Serious Man, A "
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","City of Lost Children, The "
175,Kids (1995),Kids 
272,"Madness of King George, The (1994)","Madness of King George, The "
334,Vanya on 42nd Street (1994),Vanya on 42nd Street 
741,Ghost in the Shell (Kôkaku kidôtai) (1995),Ghost in the Shell 
1050,Looking for Richard (1996),Looking for Richard 
1175,Delicatessen (1991),Delicatessen 
1217,Ran (1985),Ran 
1218,"Killer, The (Die xue shuang xiong) (1989)","Killer, The "
1232,Stalker (1979),Stalker 
1233,"Boot, Das (Boat, The) (1981)","Boot, Das "
1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)","Seventh Seal, The "
1243,Rosencrantz and Guildenstern Are Dead (1990),Rosencrantz and Guildenstern Are Dead 
1248,Touch of Evil (1958),Touch of Evil 
1249,"Femme Nikita, La (Nikita) (1990)","Femme Nikita, La "
1274,Akira (1988),Akira 
1284,"Big Sleep, The (1946)","Big Sleep, The "
1425,Fierce Creatures (1997),Fierce Creatures 
1464,Lost Highway (1997),Lost Highway 
1711,Midnight in the Garden of Good and Evil (1997),Midnight in the Garden of Good and Evil 
1809,Fireworks (Hana-bi) (1997),Fireworks 
1859,Taste of Cherry (Ta'm e guilass) (1997),Taste of Cherry 
1884,Fear and Loathing in Las Vegas (1998),Fear and Loathing in Las Vegas 
1960,"Last Emperor, The (1987)","Last Emperor, The "
2579,Following (1998),Following 
2686,"Red Violin, The (Violon rouge, Le) (1998)","Red Violin, The "
2726,"Killing, The (1956)","Killing, The "
2730,Barry Lyndon (1975),Barry Lyndon 
2912,"Limey, The (1999)","Limey, The "
3030,Yojimbo (1961),Yojimbo 
3181,Titus (1999),Titus 
3265,Hard-Boiled (Lat sau san taam) (1992),Hard-Boiled 
3822,"Girl on the Bridge, The (Fille sur le pont, La) (1999)","Girl on the Bridge, The "
4235,Amores Perros (Love's a Bitch) (2000),Amores Perros 
5333,Bob le Flambeur (1955),Bob le Flambeur 
6234,Equus (1977),Equus 
6387,Once a Thief (Zong heng si hai) (1991),Once a Thief 
6721,Once Upon a Time in China (Wong Fei Hung) (1991),Once Upon a Time in China 
6773,"Triplets of Belleville, The (Les triplettes de Belleville) (2003)","Triplets of Belleville, The "
6790,Avalon (2001),Avalon 
6857,Ninja Scroll (Jûbei ninpûchô) (1995),Ninja Scroll 
6920,"Cercle Rouge, Le (Red Circle, The) (1970)","Cercle Rouge, Le "
6989,Gorky Park (1983),Gorky Park 
7064,Beauty and the Beast (La belle et la bête) (1946),Beauty and the Beast 
7069,"Macbeth (a.k.a. Tragedy of Macbeth, The) (1971)",Macbeth 
7123,Naked Lunch (1991),Naked Lunch 
7587,"Samouraï, Le (Godson, The) (1967)","Samouraï, Le "
7924,Stray Dog (Nora inu) (1949),Stray Dog 
7932,Dark Days (2000),Dark Days 
8012,Kikujiro (Kikujirô no natsu) (1999),Kikujiro 
8228,"Maltese Falcon, The (a.k.a. Dangerous Female) (1931)","Maltese Falcon, The "
8370,"Blind Swordsman: Zatoichi, The (Zatôichi) (2003)","Blind Swordsman: Zatoichi, The "
2405,"Jewel of the Nile, The (1985)","Jewel of the Nile, The "
3556,"Virgin Suicides, The (1999)","Virgin Suicides, The "
4855,Dirty Harry (1971),Dirty Harry 
5064,The Count of Monte Cristo (2002),The Count of Monte Cristo 
5791,Frida (2002),Frida 
31696,Constantine (2005),Constantine 
35836,"40-Year-Old Virgin, The (2005)","40-Year-Old Virgin, The "
47610,"Illusionist, The (2006)","Illusionist, The "
57368,Cloverfield (2008),Cloverfield 
61024,Pineapple Express (2008),Pineapple Express 
61132,Tropic Thunder (2008),Tropic Thunder 
86882,Midnight in Paris (2011),Midnight in Paris 
102407,"Great Gatsby, The (2013)","Great Gatsby, The "
132660,Man Up (2015),Man Up 
122912,Avengers: Infinity War - Part I (2018),Avengers: Infinity War - Part I 
122916,Thor: Ragnarok (2017),Thor: Ragnarok 
176371,Blade Runner 2049 (2017),Blade Runner 2049 
187541,Incredibles 2 (2018),Incredibles 2 
187593,Deadpool 2 (2018),Deadpool 2 
238,Far From Home: The Adventures of Yellow Dog (1995),Far From Home: The Adventures of Yellow Dog 
421,Black Beauty (1994),Black Beauty 
808,Alaska (1996),Alaska 
969,"African Queen, The (1951)","African Queen, The "
1083,"Great Race, The (1965)","Great Race, The "
1262,"Great Escape, The (1963)","Great Escape, The "
1287,Ben-Hur (1959),Ben-Hur 
1387,Jaws (1975),Jaws 
1592,Air Bud (1997),Air Bud 
2032,"Barefoot Executive, The (1971)","Barefoot Executive, The "
2142,"American Tail: Fievel Goes West, An (1991)","American Tail: Fievel Goes West, An "
2151,"Gods Must Be Crazy II, The (1989)","Gods Must Be Crazy II, The "
2311,2010: The Year We Make Contact (1984),2010: The Year We Make Contact 
2530,Beneath the Planet of the Apes (1970),Beneath the Planet of the Apes 
2532,Conquest of the Planet of the Apes (1972),Conquest of the Planet of the Apes 
2876,Thumbelina (1994),Thumbelina 
2886,"Adventures of Elmo in Grouchland, The (1999)","Adventures of Elmo in Grouchland, The "
3037,Little Big Man (1970),Little Big Man 
3350,"Raisin in the Sun, A (1961)","Raisin in the Sun, A "
3451,Guess Who's Coming to Dinner (1967),Guess Who's Coming to Dinner 
3519,Force 10 from Navarone (1978),Force 10 from Navarone 
3654,"Guns of Navarone, The (1961)","Guns of Navarone, The "
3791,Footloose (1984),Footloose 
3836,Kelly's Heroes (1970),Kelly's Heroes 
23,Assassins (1995),Assassins 
147,"Basketball Diaries, The (1995)","Basketball Diaries, The "
211,"Browning Version, The (1994)","Browning Version, The "
428,"Bronx Tale, A (1993)","Bronx Tale, A "
456,Fresh (1994),Fresh 
481,Kalifornia (1993),Kalifornia 
507,"Perfect World, A (1993)","Perfect World, A "
635,"Family Thing, A (1996)","Family Thing, A "
714,Dead Man (1995),Dead Man 
851,Basquiat (1996),Basquiat 
1120,"People vs. Larry Flynt, The (1996)","People vs. Larry Flynt, The "
1171,Bob Roberts (1992),Bob Roberts 
1253,"Day the Earth Stood Still, The (1951)","Day the Earth Stood Still, The "
1271,Fried Green Tomatoes (1991),Fried Green Tomatoes 
1303,"Man Who Would Be King, The (1975)","Man Who Would Be King, The "
1459,Absolute Power (1997),Absolute Power 
1480,Smilla's Sense of Snow (1997),Smilla's Sense of Snow 
1678,"Joy Luck Club, The (1993)","Joy Luck Club, The "
1785,King of New York (1990),King of New York 
2021,Dune (1984),Dune 
2231,Rounders (1998),Rounders 
2272,One True Thing (1998),One True Thing 
2358,Savior (1998),Savior 
2618,"Castle, The (1997)","Castle, The "
2841,Stir of Echoes (1999),Stir of Echoes 
2908,Boys Don't Cry (1999),Boys Don't Cry 
2952,Sydney (Hard Eight) (1996),Sydney 
3020,Falling Down (1993),Falling Down 
3100,"River Runs Through It, A (1992)","River Runs Through It, A "
3105,Awakenings (1990),Awakenings 
3107,Backdraft (1991),Backdraft 
3169,The Falcon and the Snowman (1985),The Falcon and the Snowman 
3178,"Hurricane, The (1999)","Hurricane, The "
3198,Papillon (1973),Papillon 
3246,Malcolm X (1992),Malcolm X 
3250,Alive (1993),Alive 
3252,Scent of a Woman (1992),Scent of a Woman 
3256,Patriot Games (1992),Patriot Games 
3260,Howards End (1992),Howards End 
3271,Of Mice and Men (1992),Of Mice and Men 
3272,Bad Lieutenant (1992),Bad Lieutenant 
3360,Hoosiers (a.k.a. Best Shot) (1986),Hoosiers 
3543,Diner (1982),Diner 
3783,Croupier (1998),Croupier 
3950,Tigerland (2000),Tigerland 
3980,Men of Honor (2000),Men of Honor 
4047,Gettysburg (1993),Gettysburg 
4211,Reversal of Fortune (1990),Reversal of Fortune 
4238,Along Came a Spider (2001),Along Came a Spider 
4251,Chopper (2000),Chopper 
4343,Evolution (2001),Evolution 
4626,Miracle Mile (1989),Miracle Mile 
4688,Black Robe (1991),Black Robe 
4772,Dinner Rush (2000),Dinner Rush 
4787,Little Man Tate (1991),Little Man Tate 
5009,Ali (2001),Ali 
5010,Black Hawk Down (2001),Black Hawk Down 
5055,Dragon: The Bruce Lee Story (1993),Dragon: The Bruce Lee Story 
5152,We Were Soldiers (2002),We Were Soldiers 
5267,"Rookie, The (2002)","Rookie, The "
5292,Slap Shot (1977),Slap Shot 
5329,"Salton Sea, The (2002)","Salton Sea, The "
5446,Rabbit-Proof Fence (2002),Rabbit-Proof Fence 
5577,Igby Goes Down (2002),Igby Goes Down 
5632,Bloody Sunday (2002),Bloody Sunday 
5682,"Grey Zone, The (2001)","Grey Zone, The "
5747,Gallipoli (1981),Gallipoli 
5945,About Schmidt (2002),About Schmidt 
5955,Antwone Fisher (2002),Antwone Fisher 
6281,Phone Booth (2002),Phone Booth 
6428,Two Mules for Sister Sara (1970),Two Mules for Sister Sara 
6537,Terminator 3: Rise of the Machines (2003),Terminator 3: Rise of the Machines 
6552,Dirty Pretty Things (2002),Dirty Pretty Things 
6565,Seabiscuit (2003),Seabiscuit 
6617,Open Range (2003),Open Range 
6796,Boyz N the Hood (1991),Boyz N the Hood 
6817,"White Hunter, Black Heart (1990)","White Hunter, Black Heart "
6867,"Station Agent, The (2003)","Station Agent, The "
6884,Veronica Guerin (2003),Veronica Guerin 
6947,Master and Commander: The Far Side of the World (2003),Master and Commander: The Far Side of the World 
6953,21 Grams (2003),21 Grams 
6957,Bad Santa (2003),Bad Santa 
6974,"Freshman, The (1990)","Freshman, The "
6993,Hannah and Her Sisters (1986),Hannah and Her Sisters 
6997,Hoffa (1992),Hoffa 
7009,Lorenzo's Oil (1992),Lorenzo's Oil 
7025,"Midnight Clear, A (1992)","Midnight Clear, A "
7090,Hero (Ying xiong) (2002),Hero 
7263,Miracle (2004),Miracle 
7481,Enemy Mine (1985),Enemy Mine 
7649,Babylon 5: In the Beginning (1998),Babylon 5: In the Beginning 
7706,Animal Crackers (1930),Animal Crackers 
7841,Children of Dune (2003),Children of Dune 
7842,Dune (2000),Dune 
7884,Highway 61 (1991),Highway 61 
8010,"Power of One, The (1992)","Power of One, The "
8132,Gladiator (1992),Gladiator 
8378,"Doctor, The (1991)","Doctor, The "
8493,Memphis Belle (1990),Memphis Belle 
8495,Animal Factory (2000),Animal Factory 
8633,"Last Starfighter, The (1984)","Last Starfighter, The "
8810,AVP: Alien vs. Predator (2004),AVP: Alien vs. Predator 
8874,Shaun of the Dead (2004),Shaun of the Dead 
8914,Primer (2004),Primer 
8937,Friday Night Lights (2004),Friday Night Lights 
8951,Vera Drake (2004),Vera Drake 
8977,Alexander (2004),Alexander 
8982,I Am David (2003),I Am David 
8983,House of Flying Daggers (Shi mian mai fu) (2004),House of Flying Daggers 
26649,Lonesome Dove (1989),Lonesome Dove 
26695,"Krays, The (1990)","Krays, The "
26750,Quigley Down Under (1990),Quigley Down Under 
26812,Barbarians at the Gate (1993),Barbarians at the Gate 
26901,Last of the Dogmen (1995),Last of the Dogmen 
27408,Ripley's Game (2002),Ripley's Game 
27450,Blueberry (2004),Blueberry 
27788,"Jacket, The (2005)","Jacket, The "
27793,Starship Troopers 2: Hero of the Federation (2004),Starship Troopers 2: Hero of the Federation 
31101,Stander (2003),Stander 
31116,Sergeant York (1941),Sergeant York 
31225,Coach Carter (2005),Coach Carter 
31420,Assault on Precinct 13 (2005),Assault on Precinct 13 
33166,Crash (2004),Crash 
33558,"Snow Walker, The (2003)","Snow Walker, The "
33660,Cinderella Man (2005),Cinderella Man 
34536,The Great Raid (2005),The Great Raid 
36517,"Constant Gardener, The (2005)","Constant Gardener, The "
36527,Proof (2005),Proof 
37731,Green Street Hooligans (a.k.a. Hooligans) (2005),Green Street Hooligans 
37739,"Greatest Game Ever Played, The (2005)","Greatest Game Ever Played, The "
38886,"Squid and the Whale, The (2005)","Squid and the Whale, The "
39381,"Proposition, The (2005)","Proposition, The "
39444,"Weather Man, The (2005)","Weather Man, The "
40278,Jarhead (2005),Jarhead 
40414,Joyeux Noël (Merry Christmas) (2005),Joyeux Noël 
40583,Syriana (2005),Syriana 
41569,King Kong (2005),King Kong 
41863,"Three Burials of Melquiades Estrada, The (2006)","Three Burials of Melquiades Estrada, The "
42004,Transamerica (2005),Transamerica 
43396,"World's Fastest Indian, The (2005)","World's Fastest Indian, The "
43921,Running Scared (2006),Running Scared 
43928,Ultraviolet (2006),Ultraviolet 
43936,16 Blocks (2006),16 Blocks 
44195,Thank You for Smoking (2006),Thank You for Smoking 
44204,Tsotsi (2005),Tsotsi 
44761,Brick (2005),Brick 
45658,On a Clear Day (2005),On a Clear Day 
46723,Babel (2006),Babel 
47629,The Queen (2006),The Queen 
47644,Invincible (2006),Invincible 
47894,"Wind That Shakes the Barley, The (2006)","Wind That Shakes the Barley, The "
48326,All the King's Men (2006),All the King's Men 
48385,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan 
48738,"Last King of Scotland, The (2006)","Last King of Scotland, The "
48879,Catch a Fire (2006),Catch a Fire 
49265,Shooting Dogs (a.k.a. Beyond the Gates) (2005),Shooting Dogs 
49530,Blood Diamond (2006),Blood Diamond 
49822,"Good Shepherd, The (2006)","Good Shepherd, The "
49961,Notes on a Scandal (2006),Notes on a Scandal 
50068,Letters from Iwo Jima (2006),Letters from Iwo Jima 
50442,Alpha Dog (2007),Alpha Dog 
51080,Breach (2007),Breach 
51255,Hot Fuzz (2007),Hot Fuzz 
51471,Amazing Grace (2006),Amazing Grace 
51935,Shooter (2007),Shooter 
52042,Black Book (Zwartboek) (2006),Black Book 
52241,"Lookout, The (2007)","Lookout, The "
52328,Sunshine (2007),Sunshine 
52952,This Is England (2006),This Is England 
53123,Once (2006),Once 
53550,Rescue Dawn (2006),Rescue Dawn 
53953,1408 (2007),1408 
54736,"Kingdom, The (2007)","Kingdom, The "
54962,"Nines, The (2007)","Nines, The "
54997,3:10 to Yuma (2007),3:10 to Yuma 
55080,"Brave One, The (2007)","Brave One, The "
55094,In the Valley of Elah (2007),In the Valley of Elah 
55116,"Hunting Party, The (2007)","Hunting Party, The "
55274,Elizabeth: The Golden Age (2007),Elizabeth: The Golden Age 
55363,"Assassination of Jesse James by the Coward Robert Ford, The (2007)","Assassination of Jesse James by the Coward Robert Ford, The "
55721,Elite Squad (Tropa de Elite) (2007),Elite Squad 
55908,"Man from Earth, The (2007)","Man from Earth, The "
56145,"Mist, The (2007)","Mist, The "
56587,"Bucket List, The (2007)","Bucket List, The "
56607,"Kite Runner, The (2007)","Kite Runner, The "
56921,Battlestar Galactica: Razor (2007),Battlestar Galactica: Razor 
58293,"10,000 BC (2008)","10,000 BC "
58803,21 (2008),21 
59018,"Visitor, The (2007)","Visitor, The "
59129,Outpost (2008),Outpost 
59387,"Fall, The (2006)","Fall, The "
60046,"Children of Huang Shi, The (2008)","Children of Huang Shi, The "
60389,Battle for Haditha (2007),Battle for Haditha 
60647,Transsiberian (2008),Transsiberian 
60674,Stargate: Continuum (2008),Stargate: Continuum 
60735,Shotgun Stories (2007),Shotgun Stories 
60753,Felon (2008),Felon 
60941,"Midnight Meat Train, The (2008)","Midnight Meat Train, The "
60943,Frozen River (2008),Frozen River 
61011,"Walker, The (2007)","Walker, The "
61167,Henry Poole is Here (2008),Henry Poole is Here 
61210,Mutant Chronicles (2008),Mutant Chronicles 
61236,Waltz with Bashir (Vals im Bashir) (2008),Waltz with Bashir 
61248,Death Race (2008),Death Race 
61350,Babylon A.D. (2008),Babylon A.D. 
61352,Traitor (2008),Traitor 
61628,Sunflower (Xiang ri kui) (2005),Sunflower 
61986,Appaloosa (2008),Appaloosa 
62374,Body of Lies (2008),Body of Lies 
62376,City of Ember (2008),City of Ember 
62394,Max Payne (2008),Max Payne 
62792,Pride and Glory (2008),Pride and Glory 
62799,"Express, The (2008)","Express, The "
62849,RocknRolla (2008),RocknRolla 
63033,Blindness (2008),Blindness 
63062,Changeling (2008),Changeling 
63433,Farscape: The Peacekeeper Wars (2004),Farscape: The Peacekeeper Wars 
64030,Transporter 3 (2008),Transporter 3 
64497,"Day the Earth Stood Still, The (2008)","Day the Earth Stood Still, The "
64716,Seven Pounds (2008),Seven Pounds 
64983,Valkyrie (2008),Valkyrie 
64997,War of the Worlds (2005),War of the Worlds 
65216,Defiance (2008),Defiance 
65682,Underworld: Rise of the Lycans (2009),Underworld: Rise of the Lycans 
65982,Outlander (2008),Outlander 
67534,Big Stan (2007),Big Stan 
68205,Crank: High Voltage (2009),Crank: High Voltage 
69849,Roots (1977),Roots 
70336,G.I. Joe: The Rise of Cobra (2009),G.I. Joe: The Rise of Cobra 
71106,Frequently Asked Questions About Time Travel (2009),Frequently Asked Questions About Time Travel 
71135,Pandorum (2009),Pandorum 
953,It's a Wonderful Life (1946),It's a Wonderful Life 
1204,Lawrence of Arabia (1962),Lawrence of Arabia 
1242,Glory (1989),Glory 
1772,Blues Brothers 2000 (1998),Blues Brothers 2000 
1792,U.S. Marshals (1998),U.S. Marshals 
1939,"Best Years of Our Lives, The (1946)","Best Years of Our Lives, The "
1945,On the Waterfront (1954),On the Waterfront 
2301,History of the World: Part I (1981),History of the World: Part I 
3363,American Graffiti (1973),American Graffiti 
4980,Bill & Ted's Bogus Journey (1991),Bill & Ted's Bogus Journey 
7156,"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)","Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The "
7379,The Alamo (2004),The Alamo 
26554,"Quiet Earth, The (1985)","Quiet Earth, The "
26729,Hearts of Darkness: A Filmmakers Apocalypse (1991),Hearts of Darkness: A Filmmakers Apocalypse 
64620,Frost/Nixon (2008),Frost/Nixon 
87306,Super 8 (2011),Super 8 
98961,Zero Dark Thirty (2012),Zero Dark Thirty 
96821,"Perks of Being a Wallflower, The (2012)","Perks of Being a Wallflower, The "
605,One Fine Day (1996),One Fine Day 
612,"Pallbearer, The (1996)","Pallbearer, The "
1099,"Christmas Carol, A (1938)","Christmas Carol, A "
1231,"Right Stuff, The (1983)","Right Stuff, The "
1353,"Mirror Has Two Faces, The (1996)","Mirror Has Two Faces, The "
1361,Paradise Lost: The Child Murders at Robin Hood Hills (1996),Paradise Lost: The Child Murders at Robin Hood Hills 
1363,"Preacher's Wife, The (1996)","Preacher's Wife, The "
1393,Jerry Maguire (1996),Jerry Maguire 
74,Bed of Roses (1996),Bed of Roses 
78,"Crossing Guard, The (1995)","Crossing Guard, The "
194,Smoke (1995),Smoke 
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","To Wong Foo, Thanks for Everything! Julie Newmar "
246,Hoop Dreams (1994),Hoop Dreams 
471,"Hudsucker Proxy, The (1994)","Hudsucker Proxy, The "
786,Eraser (1996),Eraser 
1104,"Streetcar Named Desire, A (1951)","Streetcar Named Desire, A "
1429,First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996),First Strike 
1458,Touch (1997),Touch 
28,Persuasion (1995),Persuasion 
94,Beautiful Girls (1996),Beautiful Girls 
249,Immortal Beloved (1994),Immortal Beloved 
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Three Colors: Blue 
308,Three Colors: White (Trzy kolory: Bialy) (1994),Three Colors: White 
322,Swimming with Sharks (1995),Swimming with Sharks 
385,"Man of No Importance, A (1994)","Man of No Importance, A "
446,Farewell My Concubine (Ba wang bie ji) (1993),Farewell My Concubine 
452,Widows' Peak (1994),Widows' Peak 
562,Welcome to the Dollhouse (1995),Welcome to the Dollhouse 
580,Princess Caraboo (1994),Princess Caraboo 
613,Jane Eyre (1996),Jane Eyre 
715,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)","Horseman on the Roof, The "
805,"Time to Kill, A (1996)","Time to Kill, A "
994,Big Night (1996),Big Night 
1027,Robin Hood: Prince of Thieves (1991),Robin Hood: Prince of Thieves 
1056,Jude (1996),Jude 
1177,Enchanted April (1992),Enchanted April 
1280,Raise the Red Lantern (Da hong deng long gao gao gua) (1991),Raise the Red Lantern 
1365,Ridicule (1996),Ridicule 
1399,Marvin's Room (1996),Marvin's Room 
1446,Kolya (Kolja) (1996),Kolya 
1476,Private Parts (1997),Private Parts 
1487,Selena (1997),Selena 
1537,Shall We Dance? (Shall We Dansu?) (1996),Shall We Dance? 
1545,Ponette (1996),Ponette 
1621,Soul Food (1997),Soul Food 
1633,Ulee's Gold (1997),Ulee's Gold 
1643,"Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown) (1997)",Mrs. Brown 
1672,"Rainmaker, The (1997)","Rainmaker, The "
1673,Boogie Nights (1997),Boogie Nights 
1799,Suicide Kings (1997),Suicide Kings 
1801,"Man in the Iron Mask, The (1998)","Man in the Iron Mask, The "
1841,"Gingerbread Man, The (1998)","Gingerbread Man, The "
2112,Grand Canyon (1991),Grand Canyon 
2310,"Mighty, The (1998)","Mighty, The "
2333,Gods and Monsters (1998),Gods and Monsters 
2357,Central Station (Central do Brasil) (1998),Central Station 
2391,"Simple Plan, A (1998)","Simple Plan, A "
2443,Playing by Heart (1998),Playing by Heart 
2501,October Sky (1999),October Sky 
2690,"Ideal Husband, An (1999)","Ideal Husband, An "
2875,Sommersby (1993),Sommersby 
2943,Indochine (1992),Indochine 
3997,Dungeons & Dragons (2000),Dungeons & Dragons 
5146,Vampire Hunter D: Bloodlust (Banpaia hantâ D) (2000),Vampire Hunter D: Bloodlust 
5449,Mr. Deeds (2002),Mr. Deeds 
6242,Ringu (Ring) (1998),Ringu 
6567,Buffalo Soldiers (2001),Buffalo Soldiers 
6618,Shaolin Soccer (Siu lam juk kau) (2001),Shaolin Soccer 
26606,"Chinese Ghost Story, A (Sinnui yauwan) (1987)","Chinese Ghost Story, A "
27193,Taxi 2 (2000),Taxi 2 
27728,Ghost in the Shell 2: Innocence (a.k.a. Innocence) (Inosensu) (2004),Ghost in the Shell 2: Innocence 
27801,Ong-Bak: The Thai Warrior (Ong Bak) (2003),Ong-Bak: The Thai Warrior 
31184,Appleseed (Appurushîdo) (2004),Appleseed 
44974,Hard Candy (2005),Hard Candy 
544,Striking Distance (1993),Striking Distance 
2269,Indecent Proposal (1993),Indecent Proposal 
2735,"Golden Child, The (1986)","Golden Child, The "
2794,European Vacation (aka National Lampoon's European Vacation) (1985),European Vacation 
3066,Tora! Tora! Tora! (1970),Tora! Tora! Tora! 
3270,"Cutting Edge, The (1992)","Cutting Edge, The "
3347,Never Cry Wolf (1983),Never Cry Wolf 
3362,Dog Day Afternoon (1975),Dog Day Afternoon 
3766,Missing in Action (1984),Missing in Action 
3861,"Replacements, The (2000)","Replacements, The "
4220,"Longest Yard, The (1974)","Longest Yard, The "
5093,Collateral Damage (2002),Collateral Damage 
5312,Murder by Numbers (2002),Murder by Numbers 
6662,"Pink Panther, The (1963)","Pink Panther, The "
585,"Brady Bunch Movie, The (1995)","Brady Bunch Movie, The "
2342,Hard Core Logo (1996),Hard Core Logo 
3019,Drugstore Cowboy (1989),Drugstore Cowboy 
82,Antonia's Line (Antonia) (1995),Antonia's Line 
121,"Boys of St. Vincent, The (1992)","Boys of St. Vincent, The "
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Umbrellas of Cherbourg, The "
228,Destiny Turns on the Radio (1995),Destiny Turns on the Radio 
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Three Colors: Red 
514,"Ref, The (1994)","Ref, The "
685,It's My Party (1996),It's My Party 
3285,"Beach, The (2000)","Beach, The "
3968,Bedazzled (2000),Bedazzled 
4890,Shallow Hal (2001),Shallow Hal 
6708,Matchstick Men (2003),Matchstick Men 
6763,Duplex (2003),Duplex 
7173,Along Came Polly (2004),Along Came Polly 
7444,13 Going on 30 (2004),13 Going on 30 
8981,Closer (2004),Closer 
54001,Harry Potter and the Order of the Phoenix (2007),Harry Potter and the Order of the Phoenix 
55280,Lars and the Real Girl (2007),Lars and the Real Girl 
56941,P.S. I Love You (2007),P.S. I Love You 
59725,Sex and the City (2008),Sex and the City 
61240,Let the Right One In (Låt den rätte komma in) (2008),Let the Right One In 
65230,Marley & Me (2008),Marley & Me 
71033,"Secret in Their Eyes, The (El secreto de sus ojos) (2009)","Secret in Their Eyes, The "
85774,Senna (2010),Senna 
86781,Incendies (2010),Incendies 
87869,Horrible Bosses (2011),Horrible Bosses 
89759,"Separation, A (Jodaeiye Nader az Simin) (2011)","Separation, A "
93840,"Cabin in the Woods, The (2012)","Cabin in the Woods, The "
96829,"Hunt, The (Jagten) (2012)","Hunt, The "
97921,Silver Linings Playbook (2012),Silver Linings Playbook 
100714,Before Midnight (2013),Before Midnight 
101525,"Place Beyond the Pines, The (2012)","Place Beyond the Pines, The "
103980,Blue Jasmine (2013),Blue Jasmine 
111659,Maleficent (2014),Maleficent 
111921,The Fault in Our Stars (2014),The Fault in Our Stars 
112290,Boyhood (2014),Boyhood 
115569,Nightcrawler (2014),Nightcrawler 
116897,Wild Tales (2014),Wild Tales 
125916,Fifty Shades of Grey (2015),Fifty Shades of Grey 
128360,The Hateful Eight (2015),The Hateful Eight 
136864,Batman v Superman: Dawn of Justice (2016),Batman v Superman: Dawn of Justice 
122,Boomerang (1992),Boomerang 
144,"Brothers McMullen, The (1995)","Brothers McMullen, The "
227,Drop Zone (1994),Drop Zone 
408,8 Seconds (1994),8 Seconds 
413,Airheads (1994),Airheads 
418,Being Human (1993),Being Human 
424,Blue Chips (1994),Blue Chips 
433,Clean Slate (1994),Clean Slate 
436,Color of Night (1994),Color of Night 
459,"Getaway, The (1994)","Getaway, The "
550,Threesome (1994),Threesome 
639,Girl 6 (1996),Girl 6 
782,"Fan, The (1996)","Fan, The "
1191,Madonna: Truth or Dare (1991),Madonna: Truth or Dare 
1343,Cape Fear (1991),Cape Fear 
1431,Beverly Hills Ninja (1997),Beverly Hills Ninja 
1453,"Beautician and the Beast, The (1997)","Beautician and the Beast, The "
1468,Booty Call (1997),Booty Call 
1488,"Devil's Own, The (1997)","Devil's Own, The "
1513,Romy and Michele's High School Reunion (1997),Romy and Michele's High School Reunion 
1667,Mad City (1997),Mad City 
1726,"Postman, The (1997)","Postman, The "
1810,Primary Colors (1998),Primary Colors 
1835,City of Angels (1998),City of Angels 
1975,Friday the 13th Part 2 (1981),Friday the 13th Part 2 
1976,Friday the 13th Part 3: 3D (1982),Friday the 13th Part 3: 3D 
2146,St. Elmo's Fire (1985),St. Elmo's Fire 
2155,"Slums of Beverly Hills, The (1998)","Slums of Beverly Hills, The "
2236,Simon Birch (1998),Simon Birch 
2297,What Dreams May Come (1998),What Dreams May Come 
2306,Holy Man (1998),Holy Man 
2352,"Big Chill, The (1983)","Big Chill, The "
2404,Rambo III (1988),Rambo III 
2433,"Civil Action, A (1998)","Civil Action, A "
2497,Message in a Bottle (1999),Message in a Bottle 
2500,Jawbreaker (1999),Jawbreaker 
2505,8MM (1999),8MM 
2568,"Mod Squad, The (1999)","Mod Squad, The "
2574,"Out-of-Towners, The (1999)","Out-of-Towners, The "
2598,Pushing Tin (1999),Pushing Tin 
2702,Summer of Sam (1999),Summer of Sam 
2713,Lake Placid (1999),Lake Placid 
2771,Brokedown Palace (1999),Brokedown Palace 
2795,National Lampoon's Vacation (1983),National Lampoon's Vacation 
2796,Funny Farm (1988),Funny Farm 
2805,Mickey Blue Eyes (1999),Mickey Blue Eyes 
2827,"Astronaut's Wife, The (1999)","Astronaut's Wife, The "
2861,For Love of the Game (1999),For Love of the Game 
2871,Deliverance (1972),Deliverance 
2890,Three Kings (1999),Three Kings 
2906,Random Hearts (1999),Random Hearts 
3098,"Natural, The (1984)","Natural, The "
3120,"Distinguished Gentleman, The (1992)","Distinguished Gentleman, The "
3142,U2: Rattle and Hum (1988),U2: Rattle and Hum 
3177,Next Friday (2000),Next Friday 
